email,name,status
nsaglam@anadolu.edu.tr,2N İnovasyon,Unused
ismail@ayazilimevi.com,A Yazılım,Unused
acd@acd.com.tr,ACD Bilgi İşlem,Unused
ozbasaran@ogu.edu.tr,ALECS Yazılım,Unused
taskin@bewelltech.com.tr,Bewell Teknoloji,Unused
info@cozumtr.com,ÇözümTR,Unused
mergenfinans@gmail.com,EFE EROĞLU Bilişim Teknolojileri ,Unused
kemal.ebcioglu@erendiz-superbilgisayar.com.tr,ERENDİZ Süperbilgisayar,Unused
ester@ester.com.tr,ESTER Teknoloji Sanayi ve Ticaret Anonim Şirketi,Unused
mustafa@userspots.com,Etkilab Ar-Ge,Used By Hazar
sacoskun@ogu.edu.tr,ETTOM Teknoloji A.Ş.,Used By Hazar
ozan@evosoft.com.tr,EVOSOFT Yazılım Bilişim,Used By Hazar
uzayyapim@gmail.com, Irea Ar-Ge,Used By Hazar
seraperdog@gmail.com,İlmek Eğitim Teknolojileri, Used By Hazar
selim.somar@intif.com.tr, İNTİF BİLİŞİM YAZILIM VE OTOMASYON,Used By Hazar
is.ozkutuk@korlog.com, KORLOG Ar-Ge,Used By Hazar
info@heysemai.com, HEYSEM Yapay Zeka ve İnovasyon,Used By Hazar
info@iotech.com.tr,IOTECH,Used By Hazar
info@inorobotics.com,İNOVASYON Mühendislik,Used By Hazar
posta@liderteknoloji.com,Lider Teknoloji Geliştirme Müh.,Used By Hazar
mujdat@maskteknoloji.com,Mask Teknoloji Hizmetleri Ltd. Şti.,Used By Hazar
bilgi@metasoft.com.tr,METASOFT ,Used By Hazar
bilgi@nevisoft.com.tr,Nevisoft ,Used By Hazar
taskin.akkurt@midsoft.com.tr,Midsoft Bilgi Teknolojileri,Used By Hazar
info@orthopia.com.tr, ORTHOPIA ARAŞTIRMA GELİŞTİRME UYGULAMA,Used By Hazar
mustafabilgic@pbdi.com.tr, PBD İnteraktif A.Ş.,Used By Hazar
info@piton.com.tr,PITON Ar-Ge,Used By Hazar
contact@proeglobal.com,Proe Teknolojileri,Unused
engin@progimyalin.com.tr,PROGİM ,Unused
info@sym.com.tr,SYM Yazılım,Unused
info@visea.com.tr,Visea,Unused
